din_instante;id_subsistema_origem;nom_subsistema_origem;id_subsistema_destino;nom_subsistema_destino;val_intercambiomwmed
2022-01-01 22:00:00;N;NORTE;NE;NORDESTE;1245.336
2022-01-01 22:00:00;N;NORTE;SE;SUDESTE;9775.759
2022-01-01 22:00:00;NE;NORDESTE;SE;SUDESTE;1644.382
2022-01-01 22:00:00;SE;SUDESTE;S;SUL;7855.475
2022-01-01 23:00:00;N;NORTE;NE;NORDESTE;1187.096
2022-01-01 23:00:00;N;NORTE;SE;SUDESTE;9554.187
2022-01-01 23:00:00;NE;NORDESTE;SE;SUDESTE;1583.893
2022-01-01 23:00:00;SE;SUDESTE;S;SUL;8096.345
2022-01-02 00:00:00;N;NORTE;NE;NORDESTE;974.699
2022-01-02 00:00:00;N;NORTE;SE;SUDESTE;9180.426
2022-01-02 00:00:00;NE;NORDESTE;SE;SUDESTE;1403.301
2022-01-02 00:00:00;SE;SUDESTE;S;SUL;8102.123
2022-01-02 01:00:00;N;NORTE;NE;NORDESTE;756.976
2022-01-02 01:00:00;N;NORTE;SE;SUDESTE;8222.066
2022-01-02 01:00:00;NE;NORDESTE;SE;SUDESTE;1149.385
2022-01-02 01:00:00;SE;SUDESTE;S;SUL;7891.014
2022-01-02 02:00:00;N;NORTE;NE;NORDESTE;966.443
2022-01-02 02:00:00;N;NORTE;SE;SUDESTE;7390.917
2022-01-02 02:00:00;NE;NORDESTE;SE;SUDESTE;971.144
2022-01-02 02:00:00;SE;SUDESTE;S;SUL;7414.332
2022-01-02 03:00:00;N;NORTE;NE;NORDESTE;839.058
2022-01-02 03:00:00;N;NORTE;SE;SUDESTE;7012.495
2022-01-02 03:00:00;NE;NORDESTE;SE;SUDESTE;647.592
2022-01-02 03:00:00;SE;SUDESTE;S;SUL;7096.695
2022-01-02 04:00:00;N;NORTE;NE;NORDESTE;672.27599999
2022-01-02 04:00:00;N;NORTE;SE;SUDESTE;6764.378
2022-01-02 04:00:00;NE;NORDESTE;SE;SUDESTE;502.549
2022-01-02 04:00:00;SE;SUDESTE;S;SUL;6977.378
2022-01-02 05:00:00;N;NORTE;NE;NORDESTE;326.952
